Subject,Institution,Course Name,Course Url,Duration,Provider
Science Courses,University of Alberta,Mountains 101,https://classcentral.com/course/mountains-101-7455,"18 hours worth of material,12 weeks long",Coursera
Science Courses,Wageningen University,Nutrition and Health: Human Microbiome,https://classcentral.com/course/edx-nutrition-and-health-human-microbiome-9565,"3-5 hours a week,6 weeks long",edX
Science Courses,The University of Sheffield,Forensic Facial Reconstruction: Finding Mr. X,https://classcentral.com/course/forensic-facial-reconstruction-7641,"2 hours a week,2 weeks long",FutureLearn
Science Courses,Galileo University,Pronóstico de la generación de energía eólica y solar fotovoltaica,https://classcentral.com/course/edx-pronostico-de-la-generacion-de-energia-eolica-y-solar-fotovoltaica-19544,"3-4 hours a week,4 weeks long",edX
Science Courses,Tsinghua University,Medical Parasitology|医学寄生虫学,https://classcentral.com/course/edx-medical-parasitology--19192,"1-2 hours a week,12 weeks long",edX
Science Courses,University of Cape Town,Extinctions: Past and Present,https://classcentral.com/course/extinctions-past-present-8004,"3 hours a week,5 weeks long",FutureLearn
Science Courses,Santa Fe Institute,Introduction to Complexity,https://classcentral.com/course/complexity-explorer-introduction-to-complexity-557,"3-6 hours a week,10 weeks long",Complexity Explorer
Science Courses,University of Alberta,Dino 101: Dinosaur Paleobiology,https://classcentral.com/course/dino101-1057,"3-10 hours a week,12 weeks long",Coursera
Science Courses,The Hong Kong University of Science and Technology,The Science of Gastronomy,https://classcentral.com/course/scigast-519,"3-4 hours a week,6 weeks long",Coursera
Science Courses,Georgetown University,Quantum Mechanics for Everyone,https://classcentral.com/course/edx-quantum-mechanics-for-everyone-8284,"7-10 hours a week,6 weeks long",edX
Science Courses,Massachusetts Institute of Technology,Introduction to Biology - The Secret of Life,https://classcentral.com/course/edx-introduction-to-biology-the-secret-of-life-637,"5-10 hours a week,16 weeks long",edX
Science Courses,University of Leeds,Ecology and Wildlife Conservation,https://classcentral.com/course/ecology-and-wildlife-conservation-13667,"2 hours a week,2 weeks long",FutureLearn
Science Courses,Wageningen University,Introduction to Animal Behaviour,https://classcentral.com/course/edx-introduction-to-animal-behaviour-6033,"4-6 hours a week,6 weeks long",edX
Science Courses,Massachusetts Institute of Technology,Molecular Biology - Part 1: DNA Replication and Repair,https://classcentral.com/course/edx-molecular-biology-part-1-dna-replication-and-repair-2907,"4-6 hours a week,8 weeks long",edX
Science Courses,California Institute of Technology,The Science of the Solar System,https://classcentral.com/course/solarsystem-1813,"4-6 hours a week,10 weeks long",Coursera
Science Courses,University of Queensland,The Science of Everyday Thinking,https://classcentral.com/course/edx-the-science-of-everyday-thinking-1332,"2-3 hours a week,12 weeks long",edX
Science Courses,University of Pennsylvania,Vital Signs: Understanding What the Body Is Telling Us,https://classcentral.com/course/vitalsigns-1887,"3-5 hours a week,6 weeks long",Coursera
Science Courses,Harvard Medical School,Best Practices for Biomedical Research Data Management (HE),https://classcentral.com/course/canvas-network-best-practices-for-biomedical-research-data-management-he-10172,7 hours a week,Canvas Network
Science Courses,Universidad Autónoma de Madrid,Introducción a la genética y la evolución,https://classcentral.com/course/edx-introduccion-a-la-genetica-y-la-evolucion-8591,"2-3 hours a week,3 weeks long",edX
Science Courses,Universitat Politècnica de València,Introducción a la Estructura de la Materia,https://classcentral.com/course/edx-introduccion-a-la-estructura-de-la-materia-3066,"3-4 hours a week,4 weeks long",edX
Science Courses,University of Leeds,Atmospheric Chemistry: Planets and Life Beyond Earth,https://classcentral.com/course/atmospheric-chemistry-planets-and-life-beyond-ear-12703,"2 hours a week,2 weeks long",FutureLearn
Science Courses,University of Iceland,Sheep in the Land of Fire and Ice,https://classcentral.com/course/edx-sheep-in-the-land-of-fire-and-ice-13245,"1-2 hours a week,3 weeks long",edX
Science Courses,Duke University,Introduction to Genetics and Evolution,https://classcentral.com/course/geneticsevolution-381,"5-6 hours a week,11 weeks long",Coursera
Science Courses,University of Edinburgh,Astrobiology and the Search for Extraterrestrial Life,https://classcentral.com/course/astrobio-415,"3-4 hours a week,5 weeks long",Coursera
Science Courses,Universitat Politècnica de València,Técnicas Cuantitativas y Cualitativas para la Investigación,https://classcentral.com/course/edx-tecnicas-cuantitativas-y-cualitativas-para-la-investigacion-6601,"2-3 hours a week,6 weeks long",edX
Science Courses,University of Virginia,How Things Work: An Introduction to Physics,https://classcentral.com/course/how-things-work-431,"2-4 hours a week,8 weeks long",Coursera
Science Courses,University of Alberta,Paleontology: Theropod Dinosaurs and the Origin of Birds,https://classcentral.com/course/theropods-birds-5236,"9 hours worth of material,5 weeks long",Coursera
Science Courses,Duke University,Medical Neuroscience,https://classcentral.com/course/medicalneuro-384,"16-20 hours a week,13 weeks long",Coursera
Science Courses,Duke University,Introductory Human Physiology,https://classcentral.com/course/humanphysio-380,"6-8 hours a week,10 weeks long",Coursera
Science Courses,The University of Chicago,Understanding the Brain: The Neurobiology of Everyday Life,https://classcentral.com/course/neurobio-1606,"4-6 hours a week,10 weeks long",Coursera
Science Courses,Massachusetts Institute of Technology,"Biochemistry: Biomolecules, Methods, and Mechanisms",https://classcentral.com/course/edx-biochemistry-biomolecules-methods-and-mechanisms-12585,"3-6 hours a week,12 weeks long",edX
Science Courses,University of Alberta,Paleontology: Ancient Marine Reptiles,https://classcentral.com/course/ancient-marine-reptiles-5235,"9 hours worth of material,4 weeks long",Coursera
Science Courses,Higher School of Economics,Introduction to Neuroeconomics: How the Brain Makes Decisions,https://classcentral.com/course/neuroec-1387,"6-8 hours a week,9 weeks long",Coursera
Science Courses,Stanford University,Understanding Einstein: The Special Theory of Relativity,https://classcentral.com/course/einstein-765,"2-8 hours a week,8 weeks long",Coursera
Science Courses,"Jawaharlal Nehru University, New Delhi",Organic Chemistry 1,https://classcentral.com/course/swayam-organic-chemistry-1-14221,15 weeks long,Swayam
Science Courses,The University of Tokyo,From the Big Bang to Dark Energy,https://classcentral.com/course/bigbang-722,"4-7 hours a week,4 weeks long",Coursera
Science Courses,Duke University,Dog Emotion and Cognition,https://classcentral.com/course/coursera-dog-emotion-and-cognition-3627,"22 hours worth of material,8 weeks long",Coursera
Science Courses,Wellcome Genome Campus,Bacterial Genomes II: Accessing and Analysing Microbial Genome Data Using Artemis,https://classcentral.com/course/bacterial-genomes-access-and-analysis-11907,"5 hours a week,3 weeks long",FutureLearn
Science Courses,University of Alberta,Paleontology: Early Vertebrate Evolution,https://classcentral.com/course/early-vertebrate-evolution-5417,"7 hours worth of material,4 weeks long",Coursera
Science Courses,University of Arizona,Astronomy: Exploring Time and Space,https://classcentral.com/course/astro-3007,"4-6 hours a week,11 weeks long",Coursera
Science Courses,University of Cape Town,Climate Change Mitigation in Developing Countries,https://classcentral.com/course/climate-change-mitigation-5054,"1-3 hours a week,6 weeks long",Coursera
